code;name;net;status;order;clazz;active
N230105848000001;ТЦ Золотой Ключик, ИП Федюн В.Г. ст. Полтавская, ул. Ковтюха, 119, литер А;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230103472000003;www.теплицы-юга.рф_Хорошун С.Л., Славянск-на-Кубани г, Красная ул, д. 162;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230104882000001;"Турагенство Coral Travel, ООО ""АЛТУР"", г. Славянск-на-Кубани, ул. Ковтюха, д. 27, помещение 2";Coral Travel;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N230104482000002;Банные Печи Теплодаръ,ИП Крыхтин С.В.,г.Славянск-на-Кубани,ул.Лермонтова,д.216-б, пом.1;Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230106518000002;Instagram_damat_mebel_ИП Шевердин И.И. Славянск-на-Кубани г, Красная ул, д. 164/2;Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N230106518000003;Мебель из Белоруссии, ИП Шевердин И.И., Славянск-на-Кубани г, Юных Коммунаров ул, д. 69А;Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N230106518000001;ДаМат мебель ИП Шевердин И.И. Славянск-на-Кубани г, Красная ул, д. 164/2;Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N230105668000001;КАМЕЯ, ИП Кучерова Н.Г., г. Славянск-на-Кубани, ул. Ковтюха, д. 39;ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230106517000002;Instagram_iMarket_store, ИП Сидоров В.А., Петровская ст-ца, Красная ул, д. 41/5;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230106517000001;iMarket_store, ИП Сидоров В.А., Петровская ст-ца, Красная ул, д. 41/5;Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N230101912000012;Instagram_magchempion_ИП Доронина М.Н., Славянск-на-Кубани г, Школьная ул, д. 328;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230104362000002;"""Инновации комфорта"", ИМ, ИП Крамаренко В.В., г.Славянск-на-Кубани,ул.Батарейная,д.305";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230102572000002;"""Googolplex"", ИМ, ИП Селепанов С.А., г. Славянск-на-Кубани, ул. Ковтюха, д. 55";Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Заблокирована
N230103703000004;"""Мотобензотехника"", ИМ, ИП Строева Ю.Ю., г. Славянск-на-Кубани, ул. Красная, д.145";Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N2301553000001;"""Эльдорадо"", ИМ, ИП Сизоненко М.В., ст. Полтавская, ул. Базарная, д. 4";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
