sapCode;shopName;shopAddress;workingHours
KD33;Ствр Михайловск Ленина2 ЕС;356240, Михайловск г, Ленина ул 156;Пн-Вс (09:00-19:00)
LE59;НН Арзамас Диалог2;607220, Нижегородская обл, Арзамас г, Ленина пр-кт, дом № 121, корпус а;Пн-Вс (09:00-20:00)
L544;Тверская9;125009, Москва г, Тверская ул, дом № 17;Пн-Вс (10:00-22:00)
R536;Александров5 ЕС;Александров г, Свердлова ул 6;Пн-Вс (09:00-19:00)
U787;ЕК ТЦ Торговый центр Билимбаевская;620000, Екатеринбург г, Билимбаевская ул 15;Пн-Вс (10:00-20:00)
YB59;Курск34;305026, Курская обл, Курск г, Менделеева ул, дом № 47 А;Пн-Вс (08:30-21:00)
GE17;ЯНАО Лабытнанги3;629400, Ямало-Ненецкий АО, Лабытнанги г, Гагарина ул, дом № 68;Пн-Вс (10:00-20:00)
R576;Жуков ЕС;249190, Жуков г, Ленина 22;Пн-Вс (10:00-20:00)
R837;Демидов ЕС;216240, Демидов г, Советская ул 7;Пн-Вс (09:00-20:00)
L033;Большая Черкизовская;107061, Москва г, Черкизовская Б ул, дом № 3, корп.1;Пн-Вс (09:00-21:00)
KD42;РСО Владикавказ Владикавказская ЕС;362045, Владикавказ г, Владикавказская 26;Пн-Вс (08:00-20:00)
S022;Калин Светлый ЕС;238340, Светлый г, Горького ул 13Г;Пн-Вс (09:00-20:00)
L556;Солнечногорск ТЦ Солнечный;141505, Московская обл, Солнечногорский р-н, Солнечногорск г, Красная ул, дом № 22а Тц Солнечный;Пн-Вс (10:00-22:00)
R564;Суворов2 ЕС;301430, Суворов г, Кирова ул 6;Пн-Вс (09:00-19:00)
GB42;Крг Макушино;641600, Курганская обл, Макушинский р-н, Макушино г, Ленина ул, дом № 66А;Пн-Вс (09:00-19:00)
L529;Руза3;143103, Московская обл, Рузский р-н, Руза г, Федеративная ул, дом № 7;Пн-Вс (09:00-21:00)
GO02;РнД Таганрог Гоголевский;347900, Ростовская обл, Таганрог г, Гоголевский пер, дом № 31;Пн-Вс (08:00-20:00)
I008;ПВЗ Крнд Атарбекова;350062, Краснодарский край, Краснодар г, им Атарбекова ул, дом № 1/1 ТЦ Boss House;Пн-Вс (09:00-21:00)
