partnerCode;shopName;shopAddress;workingHours;latitude;longitude
YC53;Ростов Великий3;152151, Ярославская обл, Ростовский р-н, Ростов г, Советский пер, дом № 3/2, помещение 1-5;Пн (09:00-18:00), Ср-Чт (09:00-18:00), Сб-Вс (09:00-18:00);57,185981;39,416054
UR33;Крг ТЦ РИО ЕС;640003, Курган г, Невежина ул 3;Пн-Вс (10:00-21:00);55,42835;65,29806
GD03;ХМАО Ханты-Мансийск Nebo;628011, Ханты-Мансийский Автономный округ - Югра АО, Ханты-Мансийск г, Мира ул, дом № 45;Пн-Вс (10:00-21:00);61,006441;69,040443
LQ39;Збк Могойтуй;687420, Забайкальский край, Могойтуйский р-н, Могойтуй пгт, Юбилейная ул, дом № 3а;Пн-Вс (09:00-19:00);51,285272;114,927493
LA45;РТ Бузулук ТРЦ Север;461040, Оренбургская обл, Бузулук г, Комсомольская ул, дом № 81 ТРЦ Север;Пн-Вс (10:00-22:00);52,788089;52,263904
R589;Кашин2 ЕС;171640, Кашин г, Луначарского ул 16/2;Пн-Вс (09:00-19:00);57,36047;37,6085
P125;РТ Стерлитамак ТЦ Сити Молл ЕС;Стерлитамак г, Артема ул/Октября пр-т/Строителе 38;Пн-Вс (10:00-21:00);53,63129;55,89982
LQ25;Бур Улан-Удэ Автомобилистов;670045, Бурятия Респ, Улан-Удэ г, Автомобилистов пр-кт, дом № 1;Пн-Вс (09:00-21:00);51,839025;107,65177
YO63;Вновг Пестово;174510, Новгородская обл, Пестовский р-н, Пестово г, Советская ул, дом № 3;Пн-Вс (09:00-20:00);58,600671;35,798551
GC28;Тмн Привоз;625035, Тюменская обл, Тюмень г, Республики ул, дом № 200а, строение 1;Пн-Пт (10:00-18:00);57,125952;65,593175
GD64;Члб Магнитогорск9;455001, Челябинская обл, Магнитогорск г, Герцена ул, дом № 6 Многофункциональный ТРК ДжазМолл;Пн-Вс (10:00-20:00);53,430423;58,973215
LP07;Анадырь Отке;689000, Чукотский АО, Анадырь г, Отке ул, дом № 22 А;Пн-Вс (09:00-20:00);64,735236;177,512807
P446;РТ Верхнеяркеево ЕС;452260, Верхнеяркеево с, Коммунистическая ул 23/1;Пн-Вс (09:00-20:00);55,44648;54,31505
GA23;ЕК Березовский;623701, Свердловская обл, Березовский г, Анучина ул, дом № 3;Пн-Вс (10:00-20:00);56,908647;60,81895
LC59;РТ Ульяновск Рябикова;432054, Ульяновская обл, Ульяновск г, Рябикова ул, дом № 70;Пн-Вс (09:00-21:00);54,277311;48,290167
YB54;Курск24;305048, Курская обл, Курск г, Хрущева пр-кт, дом № 5 а;Пн-Вс (09:00-21:00);51,733847;36,138926
L504;Ашан Белая Дача;140055, Московская обл, Котельники г, 1-й Покровский проезд, дом № 5;Пн-Вс (09:00-22:00);55,663376;37,856449
GE15;ЯНАО Новый Уренгой Коротчаево;629320, Ямало-Ненецкий АО, Новый Уренгой г, Коротчаево жилрайон, Бамовская ул, дом № 2 ТЦ Октябрьск;Пн-Вс (09:00-21:00);65,912788;78,215467
GA41;ЕК Каменск-Уральский6;623428, Свердловская обл, Каменск-Уральский г, Победы пр-кт, дом № 11а ТЦ Октябрьский;Пн-Вс (10:00-20:00);56,419608;61,918478
GN43;Ствр Ипатово;356630, Ставропольский край, Ипатовский р-н, Ипатово г, Гагарина ул, дом № 102 Б;Пн-Вс (08:00-19:00);45,712328;42,913473
GE23;ЯНАО Новый Уренгой;629300, Ямало-Ненецкий АО, Новый Уренгой г, Имени Подшибякина ВТ ул, дом № 1, корпус 2а;Пн-Вс (10:00-22:00);66,11462;76,6725
RG44;Воронеж Университет МИРФ ЕС;394033, Воронеж г, Ленинский пр-т 174;Пн-Вс (10:00-22:00);51,69795;39,27311
P903;МРД Саранск Косарева ЕС;430000, Республика Мордовия, г. Саранск, Октябрьский район, ул.Косарева, торговый павильон №10;Пн-Пт (09:00-18:00);54,19339;45,23769
KI26;Ствр Новоалександровск Жукова ЕС;356000, Новоалександровск г, Жукова ул 13;Пн-Вс (08:00-20:00);45,48966;41,20749
GC17;Тмн Заводоуковск;627140, Тюменская обл, Заводоуковский р-н, Заводоуковск г, Вокзальная ул, дом № 45А;Пн-Вс (09:00-19:00);56,512459;66,539695
R367;Узловая ТЦ Дом Торговли ЕС;301600, Узловая г, Октябрьская ул 6;Пн-Вс (10:00-20:00);53,97578;38,15956
R444;Ельня ЕС;216330, Ельня г, Первомайская ул 27;Пн-Вс (08:30-19:30);54,57698;33,18135
GO91;Крнд Туапсе6;352800, Краснодарский край, Туапсинский р-н, Туапсе г, Карла Маркса ул, дом № 20;Пн-Вс (09:00-21:00);44,09911;39,07913
KG64;Ствр Буденновск Октябрьская ЕС;356800, Буденновск г, Октябрьская ул 79;Пн-Вс (08:00-20:00);44,78241;44,15615
GC76;ХМАО Нижневартовск6;"628600, Ханты-Мансийский АО, Нижневартовск г, Чапаева ул, дом № 27 МФК ""Европа-сити""";Пн-Вс (10:00-22:00);60,939666;76,597494
MJ46;Люберцы ТЦ Светофор2 ЕС;140013, Люберцы г, Побратимов ул 7;Пн-Вс (10:00-22:00);55,69162;37,89683
LB05;РТ Казань ТЦ Горки Парк;420087, Татарстан Респ, Казань г, Рихарда Зорге ул, дом № 11, корпус Б ТЦ Горки Парк;Пн-Вс (10:00-22:00);55,764468;49,185959
KI08;ЧР Грозный Лорсанова2 ЕС;364902, Грозный г, Лорсанова ул 1А;Пн-Вс (09:00-19:00);43,32461;45,68627
GL06;Крнд Сочи Светлана3;354002, Краснодарский край, Сочи г, Учительская ул, дом № 6;Пн-Вс (09:00-21:00);43,572387;39,736272
GC93;ХМАО Сургут Союз;628403, Ханты-Мансийский АО, Сургут г, 30 лет Победы ул, дом № 46;Пн-Вс (10:00-22:00);61,253954;73,433355
LC92;РТ Цивильск;"429900, Чувашская Республика - Чувашия, Цивильский р-н, Цивильск г, Николаева ул, остановка ""Гостиница"" дом №2 ""а""";Пн (08:00-19:00), Ср-Сб (08:00-19:00);55,863608;47,46669
L453;ТЦ Цитрус;141400, Московская обл, Химки г, Московская ул, строение № 14А;Пн-Вс (10:00-22:00);55,894134;37,450449
LQ80;Ирк Куйтун;665302, Иркутская обл, Куйтунский р-н, Куйтун рп, Карла Маркса ул, дом № 2в;Пн-Вс (09:00-19:00);54,353386;101,521273
